fleet_id,serial,eth_mac
AIO-01,B313230202253,d0:c8:57:81:58:86
AIO-02,B313231201181,d0:c8:57:81:c8:f5
AIO-03,B313231201200,d0:c8:57:81:c9:2e
AIO-04,B313231201206,d0:c8:57:81:c9:3d
AIO-05,B313231201205,d0:c8:57:81:c9:3a
AIO-06,B313231201182,d0:c8:57:81:c8:f8
AIO-07,B313231201185,d0:c8:57:81:c9:01
AIO-08,B313231201187,d0:c8:57:81:c9:07
AIO-09,B313231201201,d0:c8:57:81:c9:31
AIO-10,B313231201208,d0:c8:57:81:c9:43
AIO-11,B313231201210,d0:c8:57:81:c9:49
AIO-12,B313231201078,d0:c8:57:81:b9:d0
AIO-13,B313230505230,d0:c8:57:81:99:23
AIO-14,B313231201038,d0:c8:57:81:b9:22
AIO-15,B313240601085,d0:c8:57:81:fc:9a
AIO-16,B313231201045,d0:c8:57:81:b9:3c
AIO-17,B313240319080,d0:c8:57:81:e5:16
AIO-18,B313240319083,d0:c8:57:81:e5:1f
AIO-19,B313240319084,d0:c8:57:81:e5:22
AIO-20,B313240319096,d0:c8:57:81:e5:46
AIO-21,B313240319097,d0:c8:57:81:e5:49
AIO-22,B313240319143,d0:c8:57:81:e6:91
AIO-23,B313240319144,d0:c8:57:81:e6:94
AIO-24,B313240319145,d0:c8:57:81:e6:97
AIO-25,B313240319147,d0:c8:57:81:e6:9d
AIO-26,B313240306180,d0:c8:57:81:d7:3a
AIO-27,B313240901151,d0:c8:57:82:54:a4
AIO-28,B313240901161,d0:c8:57:82:54:c8
AIO-29,B313240901162,d0:c8:57:82:54:cb
AIO-30,B313240901163,d0:c8:57:82:54:d4
AIO-31,B313240901152,d0:c8:57:82:54:a7
